rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[-330.86654089  -90.90251968 -330.86654089  -90.90251968 -330.86654089
  -90.90251968 -330.86654089  -90.90251968 -330.86654089  -90.90251968
 -330.86654089  -90.90251968 -330.86654089  -90.90251968 -330.86654089
  -90.90251968 -330.86654089 -330.86654089  -90.90251968]","[ -30.71979066  -75.96869081  -67.7772755  -318.67441564 -334.52779599
 -180.02709859 -265.33853784 -330.30333081 -322.67609187  -67.7772755
 -318.67441564 -180.55191775 -448.27755101 -355.15451084 -263.54015973
 -441.92218339 -325.35894011 -160.73547518 -254.35755791]","[-416.97989048 -433.09447556 -342.3217445  -153.51572428 -342.3217445
 -153.51572428 -213.97669559  -68.23575387 -195.79345414 -134.82461387
 -209.38957446 -416.97989048 -119.32251868 -111.67383655 -372.92650848
 -213.97669559 -134.82461387 -161.21362497 -319.41622916]","[-65.84744766 -86.91635358 -65.84744766 -86.91635358 -65.84744766
 -86.91635358 -65.84744766 -86.91635358 -65.84744766 -86.91635358
 -65.84744766 -86.91635358 -65.84744766 -65.84744766 -86.91635358
 -65.84744766 -86.91635358 -65.84744766 -86.91635358]","[  39.81256943 -146.3821278   -31.69655246 -121.71499028    0.22288757
  -43.99863872 -121.88787687  -74.77811986   38.59641831  -44.56933283
 -128.59737462 -185.44655935 -161.60415171  -37.92360122  -61.04945731
   83.21442116 -143.26679325  -50.18404351   22.2134583 ]","[ -81.49836452  -94.28849139 -208.47186664  -98.33529059  -24.99118241
  -14.92728342 -158.22046779   63.83885611 -235.33753477 -139.09591491
   88.2106376    -3.61435124   47.91773315  -41.1582609  -121.16370371
  -42.44473293 -209.55148564  -67.06832018   19.3615941 ]","[  39.71827861 -151.79690356 -125.73309804  -55.40088761  -49.00015632
 -132.55185443  -82.42804545  -38.48432263  -75.34154866  -20.74879858
  -54.81605081    0.69684908 -172.5436725   -13.80147249  -72.81241129
 -204.57177262 -103.43974658  -81.96190679  -21.38978647]","[ -58.45230528 -156.28954006  -89.55562961   37.61581275  -86.2840755
 -169.38573504   41.67203176  -86.2840755   -64.13556651  -31.79270844
  -59.36270909   33.75371015 -139.87908538   17.57132879 -181.37498464
  -40.40151721  -51.10738472   -8.02328736   72.32337211]","[-195.46581123 -119.23818218 -173.49817089 -134.13874825 -198.52086201
  -31.96078237  -45.60580047 -165.81060126   27.34207015 -162.02079114
  -47.15412495  -84.21571939  -11.70810007 -151.74570342  -94.41834193
  -16.15178226  -46.42324888  -76.81868829 -172.46181986]","[-139.88677501  -77.69167655  -75.42998408  -47.96798538  -69.95379603
 -137.82381551  -77.69167655  134.98529579  -47.63679529  -14.75906677
 -139.3391909   -91.27608643   62.08183362  -70.83632021  -34.74706407
 -119.27576215  -84.11953395  -58.92509524 -123.42605215]"
"[-140.24622853 -270.08321912 -270.08321912 -151.75504175 -270.08321912
 -151.75504175 -270.08321912 -151.75504175 -270.08321912 -151.75504175
 -270.08321912 -151.75504175 -270.08321912 -270.08321912 -151.75504175
 -270.08321912 -151.75504175 -270.08321912 -151.75504175]","[-452.99172988 -310.27960106 -228.9583915  -202.56200876 -311.55855748
 -272.73906347 -440.37694477 -193.61690874 -156.87082265 -307.93786317
 -278.21893916 -182.30370358 -452.99172988 -440.37694477 -193.61690874
 -326.57079102 -388.57763264 -278.260047   -220.66032626]","[-172.32458891 -228.5896161  -155.34721604 -241.86873174 -116.76661614
 -172.32458891  -22.64502856 -343.17949097  -67.58853002 -289.01465337
  -44.44436041 -201.41235474  -97.77586796 -308.26287506  -22.64502856
 -343.17949097 -203.66728955 -438.71606261  -67.58853002]","[-157.98014484  -79.52559241  -79.52559241  -91.87494663  -79.52559241
  -91.87494663  -79.52559241  -79.52559241  -91.87494663  -79.52559241
  -91.87494663  -79.52559241  -91.87494663  -79.52559241  -91.87494663
  -79.52559241  -91.87494663  -79.52559241  -91.87494663]","[ -68.02280633 -185.52752916 -128.83767253   11.58102738  -82.91006884
 -102.15816593 -164.11645375 -103.08624615 -179.36343023  -19.58823854
  -91.31762808   75.1168593   -69.58890147 -120.75328744 -197.19495196
 -101.25051129   21.99317824 -186.25651994]","[-179.62708442 -183.01429774 -104.23892539  -91.71842218    3.62060579
 -109.50840598 -104.51335818  -67.8223445  -196.04383373  -70.64749224
 -138.29881943 -182.40070956  -20.08313206  -79.72708169    2.7435064
 -206.63803545   12.34817853  -29.36065765   52.72914532]","[ -22.81951804 -154.55504158 -132.15889315  -68.39986597  -37.26577352
  -70.81075091  -72.96554623  -54.49430713 -157.20848435 -125.25865764
 -169.04114702 -117.80871572  -52.35167141 -108.34493629  -33.82917298
 -106.97549407   19.85246041 -124.21359959  -26.99608286]","[-119.58060664 -170.57610723   63.73021895 -222.88000472 -108.88595104
  -54.17951352  -88.2617794  -108.88595104 -293.01590475  -40.09788428
  -13.73397228  -46.92935956  -32.89328045 -130.37439346 -102.50902165
  -43.09563761 -110.03303534 -132.56344115   66.4460443 ]","[-127.15971015  -62.01057725  -85.19939803  -34.48912802 -115.10981245
 -100.99143107 -169.05350993  -83.58056387  -65.98464904 -114.41865097
  -35.8901842   -85.3772231   -18.04752649 -145.98405378  -48.0311328
  -93.43965284  -35.21951875   -7.92995356  -34.49404329]","[-148.0113728  -219.80596909  -84.42114557 -221.30980855  -68.1695785
 -232.18472617   31.67599606 -142.91295367   11.39091257 -149.44381158
  -54.81823484 -148.30549337  -85.41728708 -113.48028304 -206.56236305
 -121.46755968   -8.49933673  -72.88969953  -78.35968373]"
"[-143.58071181 -150.56041788 -150.56041788 -429.17861899 -150.56041788
 -429.17861899 -150.56041788 -429.17861899 -150.56041788 -429.17861899
 -150.56041788 -429.17861899 -150.56041788 -429.17861899 -143.58071181
 -150.56041788 -150.56041788 -150.56041788 -429.17861899]","[-198.83151721 -231.26214711 -135.20827002 -294.35515871 -194.54614319
 -296.74202146 -156.20348891 -135.20827002 -319.32268758 -437.02388695
 -290.11667247 -381.15350646 -487.27924482 -285.72973326 -312.78096306
 -194.54614319 -296.74202146 -191.46142267  -96.7083433 ]","[-350.38986559  -68.03184389 -327.74797662 -322.52460349 -322.52460349
 -347.84885001 -202.31725811 -388.66698904 -374.7349751  -193.04253743
 -469.03257538 -360.61408582 -169.51373291 -338.13347288 -401.98816861
 -338.13347288 -401.98816861 -236.20342297 -388.66698904]","[ -76.3151295  -144.98057555 -144.98057555 -141.8011812  -144.98057555
 -141.8011812  -144.98057555 -141.8011812  -144.98057555 -141.8011812
 -144.98057555 -141.8011812  -144.98057555 -141.8011812  -144.98057555
 -141.8011812  -144.98057555 -141.8011812   -76.3151295 ]","[ -53.41303423  -47.49261325  -24.12365789 -168.33750283   35.7758756
  -74.72372419 -119.9387088   -28.83744407  -22.53878594 -136.16363378
   40.02566492  122.07678622 -165.71076087 -123.15082075   23.44965753
 -182.31756822  -38.44130488 -266.4749264   -13.26681348]","[ -58.58943293   19.69082685   15.86062199  -80.24744859  -15.39526983
  -60.9427587  -192.63696713 -111.89073385   49.48991364 -159.49891791
  -76.77868924 -122.49032856  -49.22190768    4.99649835 -140.47806781
  -89.41133735   11.89721637 -159.15036058 -218.47046737]","[ -70.54864628  -80.20803534  -39.47027154  -89.77892125    5.91470245
   17.83233232 -120.12397046  -92.41541229 -148.77729015  -32.60923499
    8.81267741  -75.34811552   48.36926438  -87.59248196 -215.0408185
   -5.48580612  -67.36304347  -97.97234477 -104.37567238]","[-161.65804837  -89.56319524  -11.46328707 -157.5040173   -54.3308271
  -32.64513104 -299.65903453 -147.12807398 -107.06135954   45.19552722
  -14.56633337  -57.54037347   71.31178817   -0.64859897 -218.83525943
 -107.06135954 -273.26881623  -60.91165688  -94.71147153]","[-205.40680218   25.84826261  -59.6168279   -24.78977862 -195.7046077
  -43.1259031   -25.21312798 -166.53847102   18.16347752  -87.34844324
    5.70170986 -110.63661433 -145.82091509  -23.50534409 -235.89059387
 -148.95722846  -71.35568034  116.99450742 -153.24955217]","[ -98.20751008 -111.61177206 -114.48255275 -121.00138871 -139.89024855
 -102.64677649  -68.62282361   -7.81132702 -120.61707473  -50.71015457
  -59.12304127 -140.98412838  -41.42526236 -132.11202067  -77.26718446
 -135.96985587  -15.7137494    80.22228935  -45.22643107]"
"[-190.31509889  -91.62406999  -91.62406999 -226.89430915  -91.62406999
 -226.89430915  -91.62406999 -226.89430915  -91.62406999 -226.89430915
  -91.62406999 -190.31509889  -91.62406999  -91.62406999 -226.89430915
  -91.62406999 -226.89430915 -190.31509889  -91.62406999]","[-169.63802151 -409.70048309 -350.94118547 -461.40353771 -251.41178209
 -119.81828508 -170.25486922 -271.98884569 -118.19940463 -276.65526734
 -423.36973053 -260.43258956  -82.73066644 -251.41178209 -423.36973053
 -260.43258956 -222.47187097 -260.43258956 -383.1696973 ]","[-163.10804224 -256.94488893 -330.04728916 -346.48512003 -181.15033571
 -261.22819249 -238.02596465 -163.10804224 -110.99926121 -120.23375549
 -263.7170827  -110.99926121 -120.23375549 -218.4328231  -330.04728916
 -202.96736311 -252.14314742 -181.55409239 -428.73444814]","[-222.94478614  -94.85271814 -222.94478614  -94.85271814  -83.00013664
 -133.74355617 -222.94478614  -94.85271814 -222.94478614  -94.85271814
 -222.94478614  -94.85271814 -222.94478614  -94.85271814 -222.94478614
  -94.85271814 -133.74355617 -222.94478614  -94.85271814]","[ -69.78997555 -148.00064831  -40.67815474   79.09058527 -121.47295662
 -154.79959263  -17.23997979 -125.39529964   58.09943578  176.46556554
  -69.78997555  -56.4980228  -101.20208302  -13.36767514 -100.53963947
 -116.39106753 -121.43719781 -233.02949548  -60.56833545]","[ -33.40972391  -58.79738066  -55.66227647 -104.96533643   84.67537159
  -61.54477818   56.27856978 -113.61171526 -105.06337223    9.54183569
  -84.08989376 -172.93565918  -11.75899806  -28.04639418  -71.83152825
    3.32907006  105.66806458  -52.47610862 -125.93043884]","[-208.90633524 -156.39495275 -132.23192628  -67.05364558   -7.14085117
 -188.01163455  -55.16285192  -82.34511839  -97.34965048   90.64145171
   77.69932854  -73.31034155  -19.64267872   24.18712745 -156.0188144
  -79.90188803 -113.67371942   14.19428364  -72.73515791]","[-216.37093214  -28.24822668   88.02659824 -171.10542259    7.22953302
 -216.37093214 -136.67293515   23.93590387   54.29444233  -18.4057557
  -49.14838212  -65.51325845 -122.77307519 -136.7254931   -83.2711496
  164.5506672    24.49042708  -57.67009388 -125.63064916]","[ -12.03753832 -123.63964054   37.69347091  -12.78124632  -33.39740307
  -27.52700201   -4.85999113  -89.79553254  -51.90082301   27.3038436
 -106.68353084  -60.43691244 -122.78661938  -54.41979789  -84.13650528
  -73.21184636 -110.90238564  -74.2902671  -143.36970724]","[-172.1343673   -84.78958159  -80.1108869   -57.87978622 -122.99821592
   51.15544178  -92.0236011     1.06443247  -21.54989689  -57.16574119
  -97.35659738  -88.67188722 -107.4588987   -41.868358    -31.97955969
   10.60708698   62.32364217  -79.07292042  -45.19558072]"
"[-299.15043005 -170.08504827 -170.08504827 -318.24791779 -170.08504827
 -318.24791779 -170.08504827 -318.24791779 -299.15043005 -170.08504827
 -299.15043005 -170.08504827 -299.15043005 -170.08504827 -318.24791779
 -170.08504827 -318.24791779 -170.08504827 -318.24791779]","[-337.84607267 -210.50127097 -121.8185584  -261.35785033 -152.12193345
  -56.99534134 -207.46287391  -91.72606754  -79.76640748 -293.85425431
 -220.64044192 -337.84607267 -266.27334181 -324.00700284  -56.99534134
 -152.12193345  -56.99534134 -128.99898619 -452.3676613 ]","[-175.59706392 -331.26588506 -175.59706392 -331.26588506 -181.37133222
 -208.39066885 -198.59659384 -177.5178388  -187.76539786  -77.76565849
 -208.39066885 -111.95684267 -256.49443071  -78.11526446 -340.34376353
 -187.98872362 -375.35804843 -177.5178388  -255.50701266]","[ -88.58333209  -41.14503398 -126.25827169   18.00677931 -126.25827169
   18.00677931 -126.25827169   18.00677931 -126.25827169   18.00677931
 -126.25827169   18.00677931 -126.25827169   18.00677931 -126.25827169
  -88.58333209  -41.14503398 -126.25827169   18.00677931]","[  -9.1596886    31.25785837  -24.31721662  -16.19937807 -168.95134112
  -47.55960091   85.73638864   17.86738285 -119.63127416  -72.91238138
   10.02220878   26.72635261   42.05194905 -155.82705893   -8.02999381
 -186.57414473 -119.63127416   52.65298122  -47.49124284]","[-145.34175252  -49.3738965    53.93409248 -120.86639115  -33.25206573
    3.1142796     4.64698116   48.19434956 -207.57723806   -2.18655934
 -162.53624694    5.87737378  -61.25379618  -36.23535989  -86.90241281
  -44.93675589  -66.15308201  -23.27729811 -119.47733791]","[  16.06774792  -94.81571556 -123.93328324   26.70921892  -45.0255338
 -130.13037654  -12.0097981    71.87081621 -137.2181432  -204.37316152
  -56.33137307   29.19725769  -53.80338648 -145.27807902 -108.03302016
  -41.175157     84.74886635   -9.35752361 -109.6610289 ]","[ -80.97326043  -81.69020517 -129.58183021   28.82918814   65.32316221
  111.31595361  -98.60339313 -128.66178488 -178.53222973   -4.69976207
   45.50957524 -175.17565066  -32.05027141   65.32316221 -157.44217102
   49.38033583  -75.26141045 -177.59172856 -186.54316737]","[  17.21730836  -51.10558056  -27.76385584 -217.58194872  -52.25150868
   41.45224201 -101.51182566  -58.80127287   -7.23789184   67.13641312
 -153.14217688   93.46782674   11.79330046 -100.94173706   56.30098997
    6.92677507 -152.20953453 -120.09631116  -47.79139611]","[-131.01136327   17.91241689 -123.96525415  -95.60293695  -15.40918735
  -92.89126358 -141.47591559  -77.24327568  -71.86464724  -49.14678863
 -203.76771915  101.82091502 -171.15176607  -71.23645062 -121.63424781
 -125.97178187 -119.45841591 -112.10006958  -14.02830348]"
"[-158.89881672 -216.691102   -216.691102   -177.94211295 -216.691102
 -177.94211295 -216.691102   -177.94211295 -177.94211295 -350.30181368
 -177.94211295 -350.30181368 -177.94211295 -350.30181368 -177.94211295
 -350.30181368 -177.94211295 -350.30181368 -177.94211295]","[-364.59955537 -196.85181487 -180.96252464 -139.08281231 -283.91057423
 -194.75522627  -67.6245495  -192.19184407 -283.91057423 -194.75522627
  -62.69150509 -147.52628615 -192.19184407 -111.60057727 -254.00032891
 -257.3301681  -146.54491559 -283.91057423 -194.75522627]","[-364.48363433 -202.83225086 -196.84403212 -363.03231977 -321.49022311
 -279.18473669 -272.44757617 -326.23524742  -87.27797611 -357.2695924
 -364.48363433 -202.83225086 -262.10639405 -309.22801061 -326.23524742
  -94.69100979  -87.27797611 -228.5554918  -375.17727286]","[-50.94534858 -43.62290127 -43.62290127 -89.33671295 -43.62290127
 -89.33671295 -85.65026354 -50.94534858 -43.62290127 -89.33671295
 -43.62290127 -89.33671295 -43.62290127 -43.62290127 -89.33671295
 -43.62290127 -89.33671295 -85.65026354 -50.94534858]","[-131.25365184  -95.90285489  -59.70062826    5.99297407 -144.31927243
 -118.94894222  -46.30386275   50.5580823   -38.9103153   -95.86690841
  -38.9103153   -64.72747857   12.16908929    3.96627742  -49.93436173
  -90.03933202   23.99068884   53.67140865   -8.46853074]","[-104.10283592  -83.20255129  -74.31239014 -131.66789764 -172.04855058
  -31.96035877   49.2811155   -49.01289397  -56.39379777  -17.54277578
  -28.98519783 -140.4354391   -31.53736811  -94.69266651 -151.23759161
  -72.24027945  -54.23031096  -58.4205654   -25.98466882]","[ -87.49363492  -51.11301628   16.84691949 -126.09122336  -39.78185914
   22.39252294 -236.85452457 -195.31342837 -149.29372602   49.89834583
 -122.43391177   26.94432076 -105.70803677   32.42003776   12.67332085
  -20.21012777 -159.26217293 -104.83481892 -116.50128971]","[ -8.74232950e+01  -1.04622126e+02  -5.50118402e+01  -9.74870219e+01
  -1.50745837e+01  -7.23354497e+01   1.22487969e+02  -3.00123640e+01
  -1.12515108e+02  -1.50745837e+01   2.66467854e+01   1.46302507e-01
  -1.39232285e+02  -3.05357062e+02   4.49038596e+01  -3.70732884e+01
  -1.52837510e+02  -1.12737809e+02  -2.06170229e+01]","[-212.06601748   -7.55833994  -49.6345407   -68.54484715 -125.17789599
    6.65660054  -67.84243136   94.98999892  -39.68932253   35.4714074
   12.76117574 -130.51419555  -95.83721982  -11.32326593  -12.69483822
 -182.76105955  -71.6750695  -107.71255211 -172.44900103]","[  35.59211182   35.60907319  -84.22487687 -105.76355679  -33.91344505
  -46.88252984  -57.16455442  -33.774309   -136.07218983 -134.56254328
   -4.0311068  -128.09481431  -87.14361278  -40.31984784  -14.25511859
 -124.47789535  -49.80423251 -116.56861424 -176.25330429]"
"[-358.12017251 -277.25348759 -358.12017251 -277.25348759 -358.12017251
 -277.25348759 -277.25348759 -323.82193655 -277.25348759 -323.82193655
 -277.25348759 -323.82193655 -277.25348759 -323.82193655 -277.25348759
 -323.82193655 -420.64816633 -358.12017251 -277.25348759]","[-217.04832816 -237.52013652 -262.17050351 -144.29825808 -217.04832816
 -237.52013652 -217.04832816 -237.52013652 -261.28999442 -247.71021637
 -174.96499407  -52.67165817 -354.29385904 -247.24691523 -174.97346797
 -250.03977199 -261.28999442 -247.71021637 -121.80864377]","[-241.43740275  -24.12501892 -145.66461845 -283.84261443 -145.66461845
 -283.84261443 -186.17620397 -184.15207776 -218.63779369 -220.81501549
  -24.12501892 -326.88335895 -384.95311669 -170.91534009 -184.15207776
 -158.64435279 -312.18247658  -78.22441861 -238.34326578]","[ -38.92199568   32.15284701   32.15284701 -191.11211257   32.15284701
 -191.11211257  -38.92199568   32.15284701   32.15284701 -191.11211257
  -84.89929164  -38.92199568   32.15284701 -191.11211257   32.15284701
 -191.11211257  -84.89929164  -38.92199568   32.15284701]","[ -99.4163093  -155.12335565  -84.03035887  -27.1024109    42.22648435
  -28.14421386 -101.37864605 -108.79552588   42.45321578 -155.51446486
  -49.70619461   44.32571804 -139.30445248 -205.11628359  -96.09232715
  -99.4163093  -155.12335565  -91.9883026    -4.14759223]","[ -82.52577191  -36.32350941 -169.35476743 -125.65786174  101.53131428
 -108.90707471  -77.38428336 -110.12901891  -93.7071129  -109.47500807
   83.89638863 -153.56856312  -27.01886807 -114.51240455 -116.94404464
  -84.16061514  -72.29274701  -38.71136556   59.12782556]","[  -4.68579213  -71.34517793  -40.76010582 -239.97449543 -178.62996922
  -27.89208869  -45.89259802  100.77246373  -40.35105052 -225.0543989
  105.31644886  -62.59954006 -203.78351925  -73.81627812 -154.42949701
  -16.51035637 -157.29467061  -89.46900232  -94.52898545]","[-190.50958751   48.68874934 -140.21787539  -53.57032427  -70.93369209
   53.91686803   50.30007555  -22.31034245  -49.19157732  -98.00067318
 -235.24288174   -8.26622263  -70.93369209   23.86713672  -96.18027961
 -100.11820156 -104.13321622 -141.68755453 -146.38004848]","[-125.06186473   31.43482668   13.46643019  -94.70411438  -31.30679723
 -193.87401841 -127.50138681   17.94613487   81.56998483 -145.11975208
  -27.31055988  -40.05560041 -142.84823379  -26.24852936  -13.27163233
  -25.59753423   33.40373689    5.49978742   -6.22717379]","[ -78.72211004 -106.79194838  -46.51463124  -44.54938232 -121.27742558
  -93.6353072  -204.68041098 -159.4849341  -210.31482374 -117.91541042
  -46.38503858 -216.77809182  -66.31534152  -48.21708659  -65.45945193
  -48.89954758 -106.43000669 -189.08536465 -110.94379086]"
"[-269.40668586 -319.8131298  -379.25514064 -357.9799304  -379.25514064
 -357.9799304  -357.9799304  -284.80325787 -357.9799304  -284.80325787
 -357.9799304  -284.80325787 -379.25514064 -357.9799304  -357.9799304
 -284.80325787 -379.25514064 -357.9799304  -357.9799304 ]","[-167.41585718 -198.90797855 -226.65876527 -366.07937559 -167.41585718
 -198.90797855 -184.98427496 -288.33953788  -35.4612568  -172.97240445
 -295.41235071 -243.24933841 -195.86279146  -62.50806537 -295.41235071
 -243.24933841  -68.30215845 -167.41585718 -198.90797855]","[-237.30002191   30.98898889 -291.09280077 -544.34579908 -411.62538695
 -296.06084846 -131.96923258  -58.68778139 -338.92631739 -411.62538695
 -266.31596449 -176.0912965  -544.34579908 -524.80535639 -114.81319074
 -308.88556063 -242.85897689 -131.96923258  -58.68778139]","[-113.75655324  -95.47864648 -113.75655324  -95.47864648  -95.47864648
  -77.81351665   27.89225707 -113.75655324 -113.75655324  -95.47864648
  -77.81351665  -95.47864648  -77.81351665  -95.47864648  -77.81351665
  -95.47864648  -77.81351665   27.89225707 -113.75655324]","[-170.51404022   33.88340143   -4.70091502  -84.93660234 -111.91213243
  -38.84080546  -85.40848949  -15.16098709 -149.37663876  -55.61744766
 -108.97060272 -113.70253457   -4.70091502  -84.93660234  -69.62417312
   25.32651677  -78.53779811 -157.92075454   15.85983931]","[-102.44325163  -59.47392784  130.66031319 -185.03544664 -103.51503405
  -96.70271022  -74.24756626  -98.82175487  -93.53810058 -107.42771951
  -33.99285936   36.11650427 -169.04015724   31.28470476  -96.32459358
 -188.00411943  -82.77859071  -86.27969524  -23.38614496]","[ -84.72179927  -82.25472473 -152.93108409   66.70267872  -61.56124052
 -134.18889895  -99.6871166   -66.67389133  -77.92949454  -42.77530857
 -167.27238395  -75.44880013  -21.31597373 -148.40451682  -40.03962519
  -99.80551809 -114.19169317    0.74877843   48.23127795]","[  83.21646195 -176.26777834 -190.41099425   58.84157852  -27.47129555
 -142.04753322 -142.04753322   98.90073015 -102.50583764  -16.12663513
  -64.57951368 -206.75447003 -235.1632025   -13.38356546 -195.31889063
  -62.9206537    17.46081109   79.39913188 -177.29499513]","[  1.40979470e+01  -7.52316765e+01  -3.81732949e+01  -2.19713259e+02
   1.22285246e+01  -1.18239568e+01  -1.52048692e+02  -1.34861838e+02
   1.08578103e-01  -2.01016400e+02  -3.91807300e+01  -4.06505880e+01
   8.11232702e+01  -1.43119607e+02  -6.15771386e+01  -7.60274139e+00
   2.62683780e+01  -2.35054278e+02  -1.00998026e+02]","[ -53.83548702 -251.85421055 -209.40819526   -6.39468874  -70.05509565
   51.17060117  -29.55084679  -27.5414136   -79.54042691   17.73144942
 -194.3899061  -147.8979098  -116.93192959  -50.2104681    14.07882899
  -34.42296601 -195.03012236 -164.77353561 -124.71836275]"
"[-170.8029057  -441.92174281 -441.92174281 -454.68667574 -170.8029057
 -441.92174281 -170.8029057  -441.92174281 -170.8029057  -441.92174281
 -441.92174281 -454.68667574 -396.73711387 -239.67462443 -170.8029057
 -441.92174281 -441.92174281 -454.68667574 -441.92174281]","[ -46.95493245 -355.84598674  -46.95493245 -355.84598674 -297.74542583
 -615.3379904  -224.2546903  -326.37486016 -211.10341932 -211.1830481
 -115.03808271 -198.8615962  -214.43214353  -46.95493245 -355.84598674
 -198.8615962  -214.43214353 -281.41944179 -189.66979705]","[-261.28908351 -180.85706035 -453.2282444  -449.58151335 -297.11667343
 -368.20847459 -180.85706035   48.09772599 -111.14740919  -45.49185042
 -259.47465846 -156.2394223  -112.49118259 -321.0379383  -387.99953803
 -350.52909986 -297.11667343 -350.52909986 -279.09901349]","[ -96.90702062  -67.48056951  -67.48056951 -136.55150688 -136.55150688
   32.08342685 -136.55150688   32.08342685 -136.55150688   32.08342685
  -67.48056951 -136.55150688  -96.90702062  -67.48056951  -96.90702062
  -67.48056951 -136.55150688   32.08342685 -136.55150688]","[   5.85790055   -0.80773144  118.46090626 -112.27959242  -48.68077912
 -186.76268429  -48.68077912 -186.76268429  -37.39015624   -9.09077039
   -7.11213845  -23.35048471   -7.78394195   62.35488245  -79.53481344
 -180.06122009  -88.62963895    3.22064832   -7.33446445]","[-100.23628389  -48.14342914 -175.14104039 -123.04218652 -135.27294279
 -121.35634426  -45.47151191    7.52777589 -163.83820975   92.92797524
  -87.23606133   13.07770272  -37.05166929  -94.66030125 -237.07607541
  -41.82611852 -157.70525452 -172.10576333    2.90883496]","[-194.63426238   -4.4404293   -19.1542877  -130.7161307  -172.51006924
  -12.30440964   52.42325892 -172.6743757   -37.23986121  -20.94495232
  -56.93958006    5.00514127 -218.80365492   44.36583948  -20.50513141
   46.38896999    8.45607221  -18.33300855 -141.09249601]","[ 117.3533803  -145.52728311  -54.7348299     9.64294028 -141.82704194
   81.86883367 -276.55967289  -94.66053044  -44.69697942 -117.69751422
  -18.98198426  -47.65057373  -34.1630476   117.3533803   -21.6972666
   71.56662868 -122.40183864   76.38712018  -48.10238354]","[ -12.01512519  -55.90950176 -133.54166583  -27.68232167  -86.5397708
 -159.09471093  -85.61264786   11.12518364   13.27807989  -21.62077789
 -130.50985022    4.88441067 -155.49384221 -154.33074835   54.06520622
  -62.99394898  -52.96191262 -205.92395782  -74.6435447 ]","[  43.71235681  -60.81101283  -54.10621903 -173.82142944    3.12583413
  -28.29646546  -60.62323438 -212.44715487 -126.6087691  -102.4410018
  -20.98000288  -83.3664482   -47.82371224   87.16214977   30.06991077
  -19.31049622 -111.60180863   68.58673753   74.07596773]"
"[-204.43652689 -210.1560893  -204.43652689 -210.1560893  -204.43652689
 -181.98630575 -360.77447045 -204.43652689 -210.1560893  -210.1560893
 -164.0912097  -210.1560893  -164.0912097  -210.1560893  -164.0912097
 -204.43652689 -210.1560893  -204.43652689 -210.1560893 ]","[-156.72851284  139.35015271 -282.29759685 -217.63830628 -184.10348167
 -171.23788038 -282.29759685 -217.63830628 -191.13165814 -172.15490129
 -191.13165814 -172.15490129 -181.30891524 -308.56504076 -282.29759685
 -217.63830628 -111.98760139 -211.41208201 -141.08844077]","[-328.23675467 -278.3129179  -383.43368938 -226.84276694 -170.39187161
 -285.75423062 -350.24492948 -445.98522188 -340.55568547 -196.415877
 -249.42101426 -462.07295246 -278.3129179  -496.61458387 -241.19032716
 -306.52745398 -285.75423062 -305.57324299 -462.07295246]","[ 73.43437252  40.08072465  13.95703309  73.43437252 -64.86835361
  13.95703309  73.43437252  40.08072465  13.95703309  73.43437252
  73.43437252  40.08072465 -64.86835361  73.43437252  40.08072465
  13.95703309  73.43437252 -64.86835361  13.95703309]","[-166.43556999 -147.02224174 -252.58465284   12.98565841  -58.25278244
  -68.22323463   59.50183195 -121.21751699 -190.76666575    1.27410055
   14.45233461 -164.83408144  -58.25278244  -22.88190608   86.06674866
  -70.45028593 -207.80190604  -92.46461408    8.91894104]","[ -56.67485082  -76.62437836 -217.36026254   93.37900067  115.00835752
  -30.31134879 -115.63522492  -60.71055546 -134.00736502  -65.73875634
   20.17103828 -119.51030552 -146.83600786  -63.58881815  -62.63721301
 -126.89562151 -177.31803487   20.14511692 -297.72624864]","[ -11.47449243  -83.94264513 -163.18420565   29.93870997  -78.60413465
 -119.29337779   22.40105811  -45.1927131  -242.86459809 -109.99469837
 -178.01596288   84.04812176  -39.18155435  -82.28161857   22.79329578
  -74.27940795 -101.72776138  -53.57019561 -162.68906753]","[ -91.80054291  -11.23479922    4.49595337   44.42699214 -113.67602904
 -139.4389065   -26.04328481  -82.49722393  -97.63346888  -44.85203525
 -197.97019403  -97.87378606  -22.86059641 -133.74540061  -74.56247005
  -44.85203525 -135.44617215 -156.30926913    2.19652544]","[-112.87489185 -129.7123657  -120.5536978   -83.45296516   30.36126781
  -86.10872045 -174.61198027 -114.02572835  -68.60923982 -175.85005101
 -121.50095046 -113.02779585 -107.90808352 -112.87489185  -18.30144052
 -125.17038451 -125.91987536  -34.71800058 -146.94127648]","[ -85.78016229  -53.14627349 -128.34569505 -184.5764047  -198.04118195
  -43.30927419 -185.98936867 -116.91637217 -114.46703327   31.3243017
  -21.01301031  -43.25314208  -46.27255413 -102.43086168  -13.92772489
  -67.16432563 -114.62517865   -8.26692884   38.03497123]"
