rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 41.40447719  31.28019157  65.17493525   0.9374483   41.40447719
  31.28019157   0.9374483   41.40447719   0.9374483   41.40447719
  31.28019157   0.9374483   41.40447719  41.40447719  31.28019157
  41.40447719  31.28019157   0.9374483   41.40447719  41.40447719]","[  56.54335539   65.50799048   -2.87357994   81.74453643   60.23228341
   54.53758706  111.93433742   56.54335539   60.23228341    6.20374678
   22.01980485   23.83628826   71.60948354   21.72311471   23.37018879
   83.95299977   33.36046072   87.10829356   60.23228341    6.20374678]","[ 46.38255895  35.67354311  75.54808561  45.254136    75.54808561
  45.254136    -6.439898    66.32338958  58.54783927  12.15951034
   8.62773273  63.30723446  44.17582166  37.70162994  68.22837712
  65.42132094  41.85422164  18.19829785  37.70162994  68.22837712]","[ 42.72328     88.02848114  62.4678709   18.77583604  93.32034674
  76.52830197  56.62037265  60.34014163  29.77341069  39.94827796
   2.85353989  52.25306079  75.10008978  36.51479672  30.07947094
  87.48908946  29.77341069  72.85399701  34.56087234  52.25306079]","[ 83.35096202  43.076628    63.41409805  60.81739829  63.41409805
  60.81739829  57.32681722  67.66313115  76.29865485  20.10900264
  87.9390682   46.10667375  46.10667375  55.65402943  37.16285666
  44.43760091  51.64192845   2.33126032  83.84389991  20.10900264]","[ 60.67731672  76.32260584  70.4764257   90.51683389  61.65156131
  86.16908185  88.08071172  69.42244411  84.57028174  67.6539064
  50.55413415  83.7597504   50.99499216  65.86729808  84.57028174
  67.6539064   32.5736435   66.12430248  77.5234989   69.42244411]","[ 52.65808132  59.5178468   13.20024972  41.28022237  54.83604931
  50.24252108  81.12632787  56.21252962  50.31726531  98.88204584
  59.00421432  97.1839177   34.18878272  78.28284175  61.15134166
  74.71133099  75.79233332  52.65808132  59.5178468   77.78336725]","[  24.39547599   60.71060456   70.80920098  137.69725167   10.16322411
   71.80823322   72.40812408   92.82034692   43.6834997   100.05063769
   50.93661458  104.52847989   21.7026053    77.40547537   55.02633699
   70.14993162   72.19815436   33.970353     82.96817307   53.83294612]","[  78.63010849   41.8514369    25.06840117   66.46862289   10.37447682
    3.59895164   87.36227013   50.15766621   67.53604952  100.39916622
   51.65804454   46.11575774   33.7017092   104.42567395   25.06840117
   66.46862289   39.38075982   65.62652024   25.11987821   87.36227013]","[ 34.6873374   79.45176462  24.16417544  66.70405277  54.68990391
  69.04640823  85.79477267  48.46197971  75.93445564  35.85866157
  72.07881572  27.70380045   7.67375368  61.42098146  28.65537237
  45.10345735  68.5572261   78.53796849  63.92717405  25.05604176]"
"[ 74.49213783  38.57863033  20.76540593  38.57863033  20.76540593
  74.49213783  38.57863033  20.76540593  64.66564184  74.49213783
  38.57863033  74.49213783  38.57863033  74.49213783  38.57863033
  64.66564184  74.49213783  64.66564184  74.49213783  38.57863033]","[  25.66686782   80.99349653   50.35542288   48.78644803   45.9530879
   80.99349653  102.82509195  102.882178     42.14648383   38.64600254
   57.6745711    68.64829856   80.99349653  102.82509195   48.39846173
   28.19916922   58.16710288   39.10850618   93.06045906   52.82029771]","[ 53.58442208  98.50228842  91.35193775  75.01380615  43.24737566
  55.99782654  80.54196618  98.9210497   54.0779842   64.67754546
  70.69839048  17.70843095  45.00616919  33.64282613  82.76167078
  27.74553813  62.81667454  42.29684968  43.71308761  98.9210497 ]","[  96.19713653   69.05281213   71.27942542   94.12568834   20.23994137
   55.05030257   81.81612524  116.29372266  120.5904061    81.81612524
  116.29372266   82.86163498  120.5904061    81.81612524   86.663132
   58.75280386   64.70055029   44.00261697   50.24835778   66.43847629]","[  45.62283343   94.99416348   39.737021     54.16441439   71.3851426
   74.61663971   62.04820492   54.16441439  100.75516187   45.83608915
   51.97447561  108.40849484   52.87016851   80.3153099    41.86511307
  120.56804733   54.97385819   59.70309347   57.83932622   80.8844544 ]","[  87.59748771   91.47283825   44.63224207   54.38722951   71.14625533
   84.767793     85.35800593   76.79447469   60.57403026   85.35800593
  102.75781192  137.33092346   40.96893921   49.11706979   26.4626883
   34.21585907  100.90860928   43.370621     60.88452741   26.02007398]","[ 73.69653963  74.9196661   82.14401115  55.99680998  96.12329917
  66.1840229   52.55439179  65.68019043  84.30580051  72.70804386
  63.33449451  43.41416774  65.68019043  78.59764474  99.20010764
  69.72776441  74.3992506   42.86907185  92.3611805   73.69653963]","[  61.49896026   73.39512287  122.43038662   88.04155275   72.38792553
   78.09996799   48.28443057   91.28357308   97.24472601   70.21524543
   61.81904589   72.1787635    97.0651439    91.13317475  103.99546958
   50.42293114   57.08683608   97.0651439    91.13317475   78.67775889]","[  38.85392813   53.87408097   43.36301401   74.67099402   60.17802463
   72.14027612   53.58731539   20.84093656   78.45123116   56.05529046
   78.25086124   84.98767702   52.68073733   76.46108806   48.18708548
   16.95220001   38.85392813   53.87408097  124.44019531   51.87677814]","[ 112.67838265   95.32403311   68.21893621   94.00306666   81.08051756
   91.29706389  115.25272127   82.22869015   83.50587531  108.93697807
   92.5812103    30.0513689    57.84973122   83.95532316  117.61911749
  129.56480329   92.91184559  115.50144984   81.08051756   91.29706389]"
"[ 37.73438385  16.65391805  60.88166867  16.65391805  60.88166867
  35.97978162  16.65391805  60.88166867  35.97978162  16.65391805
  60.88166867  60.88166867  35.97978162  16.65391805  60.88166867
  60.88166867  35.97978162  59.79322188  37.73438385  16.65391805]","[  69.37215404   79.36102204   81.06694615   44.01196954   16.85958032
   74.56590506   42.74800822  119.45673845   53.76742301   44.01196954
   16.85958032   67.36744389   48.94906229   73.60238112   33.87713182
   83.69848278  119.45673845   53.76742301   78.8095083    23.09012476]","[  95.23303222   92.55150355   72.09733476   95.23303222   92.55150355
   95.86397      52.57195974   92.55150355   72.09733476   23.5834379
   39.70730818  105.24112594   76.56295725   74.61036983   56.88614255
   96.80654845   51.53112854   86.11072257   89.64575866   32.66809336]","[  86.18378192  114.89995202   84.29208997   86.18378192  114.89995202
   84.29208997   95.15597002  110.13400361   38.92367547   13.56231944
   73.3265345    75.43588236   91.47914651  125.49582291   94.1203729
   68.08063155   66.52976195   29.60119653   84.29208997   47.71275913]","[ 100.213689     67.33333231   83.55309226   28.18806854   48.28361982
   79.80333832   53.14489734   80.77273918   87.65298189   70.99481211
  100.31533858   77.73019036   75.23226835   73.89586469   88.3904774
   44.41867103   70.1743359    67.33333231   83.55309226   44.55768393]","[  52.11779535   43.68415867   58.48987443   32.71311446   98.96865016
   90.07593121   80.29791925   67.30913002   59.40987655  101.43202895
   89.07721998   59.1550899   104.80628088   79.82238417   89.78015607
  102.77496864   58.0539271   136.85378019   52.11779535   43.68415867]","[  86.59844687   73.24732058   49.49657974   60.84936482   32.65531121
    3.47627032   68.64372747   44.23241845  107.04439263   97.13193117
   90.82980513   68.60158902   84.9137891    77.07599962   34.85177278
  104.52207818   44.29209869   54.44820602   84.83992633   69.01885778]","[  50.2174795   121.42792751   73.62072828   76.02855854   59.49399693
   65.51780613   38.71358427   65.73377095   90.23645894   43.60713733
  101.08893465   87.55415154   63.8053419    77.1222853   120.56371126
  126.03329138   86.59925606   72.95239773   43.60713733  101.08893465]","[  57.19766809   54.48577641  101.94692712   48.77010191   84.99615859
  116.6396716    67.108358    123.44140923  107.30387647   77.27758722
   77.11565907  116.6396716    89.2968131    44.10770474   92.32784544
   25.99599758   76.84465609   56.54606298  112.75672361   64.35707117]","[ 114.20847212   90.98242977   85.4608307   111.38493622   97.78691136
   79.89961635   11.18576976   65.09661696   99.70155318   62.91966591
   76.92294085   99.0916844    98.85921992   57.23631494  111.28198793
   33.37971875   99.60545555   72.30340563   97.48062069   80.97143569]"
"[ 47.89558652  20.68918455  45.73219994  34.90888587  47.89558652
  34.90888587  47.89558652  63.13726899  34.90888587  47.89558652
  20.68918455  34.90888587  47.89558652  34.90888587  47.89558652
  34.90888587  47.89558652  47.89558652  20.68918455  45.73219994]","[  67.65748238   69.27908351   61.00568679   60.00592368   72.30630188
   60.57804862   61.02600456   83.65152952   95.1077747    72.64576507
   69.27908351   54.43742655   61.02600456   91.00232684   11.79976962
  110.78660053   58.22637828   60.00592368   72.30630188   67.3087932 ]","[ 104.35851219   67.83038016   70.31970381  106.51906895   87.3345915
   74.51801173   35.64948372  103.42693743   70.31970381   53.17886772
  102.14861855   73.60925908   54.48171462   69.52136839   57.98425543
   26.71294988   56.73031869   35.64948372   80.46422793   69.52136839]","[ 130.093698     71.99508709   92.03578089   55.64023023   22.060916
   67.86047759   47.31936123   54.18961352   34.35622975   49.09841623
   90.0631308    76.41657566   73.6839469    67.86047759   95.24399568
  103.85565251   77.29674498   99.00257014   67.86047759   47.31936123]","[  63.85369463   75.61698954   77.05651355   66.80514801   62.64299728
  101.74504799  109.58981943   81.73708533   74.4382594    36.65426225
   94.97926271   89.33448113   63.70759458  112.75139517   85.40973939
   85.96826059  137.83915124   73.41017709   77.28823051   74.4382594 ]","[  89.02415168  105.94500822  109.79077144  104.09400627   53.997665
   92.50192251   34.09667279   68.43587552   75.1779217    89.98514478
   41.45466971  101.77774773  110.35684295  118.35178712  112.03770579
   50.4540466    77.75760649  101.81746012   46.27265377   81.38712799]","[ 111.3252616   109.03546521   84.56402648   53.82229239   99.73751382
   60.52364373   72.10926972  105.05850888   68.54153572  100.02921983
   76.26676245   74.82086131   78.74229025   49.89232805   44.49816112
   85.4624732   101.5643607    68.82368795   77.27514645   84.56402648]","[  25.95735039   87.34021757  122.6119925    78.43949786   62.97834212
   54.20261522   92.07301501   38.53425806   71.21796115   99.78493413
   63.85502815   95.51355905  109.92823912   99.78493413   80.37729712
   -9.9634216    95.51355905   99.23550976   60.39436643    9.82448152]","[  93.34392606   83.89286873   58.27718927   50.89789519  126.64899893
  123.2513495    66.77273632  106.58045265    7.66501863   65.13686682
   86.74063063   66.92241497    7.66501863  101.61877046   56.84310297
   65.13686682   86.74063063  109.34041308   62.81367015   49.95444312]","[  29.32215225   74.46181164   65.37120526  105.16526702   92.90215616
   87.80816152  112.93225129  137.45177245   54.38820708  102.22328318
  112.24015058   83.81031433  108.45328313  121.66573041   18.7309984
   83.50226448   79.76542751   58.82769187  112.93225129  137.45177245]"
"[ 44.67491701  48.37706022  68.60865067  33.66537818  44.67491701
  48.37706022  33.66537818  44.67491701  33.66537818  44.67491701
  44.67491701  48.37706022  68.60865067  51.38418803  33.66537818
  44.67491701  44.67491701  48.37706022  68.60865067  48.37706022]","[  67.35274125   54.06297089   55.00845621   73.15188968   59.83457944
   84.91866713  104.15241794  104.30995531   73.58199637   98.33556079
   66.39207647  104.15241794  104.30995531   50.8997032    84.40094515
   66.39207647   67.35274125   84.91866713   81.99250525   40.47542387]","[ 92.57319999  57.2217108   82.55244773  59.43489649  50.56585969
  27.08461328  63.60474221  67.34680047  63.60474221  67.34680047
  59.43489649  50.56585969  50.56585969  27.08461328  91.27771056
  63.60474221  67.34680047  84.20686828  88.59789489  84.20686828]","[  76.96346938   73.66468913   64.06430422   63.33328573   55.24257689
   58.62414151   88.98732853  107.40662337   70.67021302  111.18659557
  127.86682619   72.0000296    56.3914719    86.42453523   83.01226213
   60.90092675   70.67021302  111.18659557   72.89394213   79.57879954]","[  48.64028676  121.15073343  107.06411896  100.78981145   75.21764018
   87.85771891   60.64613635   83.19065888   85.72947331   56.66050462
   65.41474305  102.94044577   97.74554542   65.19771528   88.73657334
   56.66050462   83.41952928   86.48409169   80.57907477   51.80417634]","[  71.37433517   78.06660475  110.73402803   93.48907251   46.79309435
   70.58560321  114.78983891   61.24812265  148.44217496  140.26672578
   82.33974395  111.31350048   86.24399519    9.92148045   93.48907251
  148.29366304  142.24887476  125.52879158   65.0125394    92.28822007]","[  75.10006369   85.35680238   72.42230789   43.05823182   89.21819098
   53.08633262   81.73096191  109.66151384  123.81792348  108.23613437
  119.7004293    41.93323699  133.81680836  129.38021036   88.1245899
   29.54811395  119.28129788   83.60436828  103.36525958  102.15079229]","[  91.32204657   59.82450772   53.20664689  107.00236071   93.0692377
   41.75737827  114.34232131  113.73206475   82.20552294   89.74212491
   79.34719749   89.08656683  141.15982044  110.49038967   64.57636852
  118.35458768   69.27046752  122.4010451   108.78727193   57.52636422]","[ 130.67663147   77.1336871   113.24252026   84.15508791   71.50629253
   76.61707623  126.85179039   84.25849477   76.61707623  126.85179039
   70.12700481  130.67663147   77.1336871    69.34331431   36.24341044
   55.59055037   61.14328947   77.1336871   113.24252026   96.00213537]","[ 135.35192263  111.77098506  108.19771654   73.0694302   143.1287963
  131.56706463  111.87133217   94.719189     19.37730243  132.04403112
   94.52040299  191.1098632   160.97034494  137.57791025  120.58421118
  108.80494303   96.4309778    19.37730243  132.04403112   96.4309778 ]"
"[ 77.40692622  -5.65271839  -5.65271839  48.22412558  15.33698539
  23.67884576  -5.65271839  48.22412558  15.33698539  77.40692622
  -5.65271839  77.40692622  -5.65271839  48.22412558  41.17377333
  77.40692622  -5.65271839  48.22412558  -5.65271839  48.22412558]","[ 132.66545318   93.02195651  113.07123645   25.17542099   80.77739553
   86.67207275   93.02195651  113.07123645   46.27790017   92.08775908
   90.28030207  144.39176945   69.60802382   58.72123536   88.91357633
   73.89236383   76.1011791   132.66545318   93.02195651   55.14031584]","[ 118.58165553   81.719342     98.64232807   76.40866488   73.31436778
   81.96165442   85.40515525   54.23934238   86.8936487    93.77377111
   60.26267115  104.19962477   72.65719268   85.40515525   54.23934238
   82.96590587   64.92930829   78.59243654   80.98287421   73.31436778]","[  93.86464469   93.28062073   79.20537939   41.94374141   61.87587159
   62.13118669   79.82069486   88.07852174   83.58835705  132.19454023
   83.7589702    53.40721674  103.29999752   93.86464469   93.28062073
   59.31987045   49.45152605   47.86239912   24.74705191   50.03611069]","[ 125.70407099   95.73266091   74.05458595   48.91151185  117.82509608
   90.06738335   95.47978886   54.74732453   78.46787203   86.24209477
  128.51203314   48.51530304  112.34705904   86.00630348   68.82004905
   78.82595671   78.24453639  110.92069852  123.07670563   90.06738335]","[  33.33946659   88.38475768   27.62448276  109.65980046  104.53849573
  114.70266242   66.06950385   19.02256509   47.22571052   68.65221697
  132.50936515   84.87304737  139.1366546    88.11292595  122.81938284
   81.85873585  115.06562325   65.89966357   79.31651394  132.99449114]","[  43.50024979  108.19072534  113.66425897  104.79173943   85.43957691
   41.23636812   96.06773074  111.42231201   79.96620858   87.96925203
   69.12527412   60.72496742   74.46306065   78.49371629   57.68829484
   73.25279885   60.07948613   95.21836219   88.86653585   78.30127347]","[  72.74615821  115.09564037   56.9250328   107.33397618   84.23243347
   49.24678667   78.59462596   57.3795275   119.80981701   72.92232035
   68.88735548   93.01383581   78.18577774   94.93031705   72.62858134
   37.61129226   86.08455693   92.62926223  101.50808009   62.89853063]","[ 109.01204251   68.75858754   74.62794738   96.70646203  111.22541738
   75.4744618    84.7870563    71.61756959   56.78822923   96.70646203
  111.22541738   49.29458657   27.65779038  115.33108094   53.83842204
   58.81014897   49.29458657   27.65779038   57.96141477   74.37238404]","[ 155.11717332  126.70604884  134.7663772    54.72839246  119.04069492
  135.51043815  135.0742422    76.5242452   135.0742422    76.5242452
   43.48029456   97.27684604  116.22479      46.56443305  106.80255021
  163.18422195   74.7151669   115.86905197  128.11680754  117.0288317 ]"
"[ 72.55269887  58.39299501  36.47174786  39.93050267  72.55269887
  58.39299501  39.93050267  72.55269887  72.55269887  58.39299501
  38.34516779  39.93050267  72.55269887  58.39299501  58.39299501
  36.47174786  38.34516779  39.93050267  39.93050267  72.55269887]","[  67.3579575    95.7974815    80.1693143    55.6374784    60.61068623
   84.52633376   76.26566611   66.11019858   50.27738734  104.30179254
   22.09544062   90.86577612   43.86866385  100.00615699   33.55344517
   71.2252042    67.3579575    95.7974815   111.45020064   68.48187978]","[  80.52859591  116.83419126  103.62602039   86.21561063   78.43719347
   49.82138531   59.425144     76.68835845   74.624791    106.44520909
   96.07504558  103.62602039   88.53066752   80.42246043  110.54366171
  106.44520909   96.07504558   77.2114744    66.38802959   53.8604074 ]","[  71.11677234   86.83078177   88.84896086  114.53475621   64.27888003
   94.35090241   68.38909024   73.65609355   88.84896086   85.19551382
   95.37491524   88.84896086   85.19551382   30.21656137  147.34723435
   81.99477805   85.91650477   89.61425115   93.63937829   43.44173826]","[  81.84121809   87.76254279  101.31658105   82.2977152   133.67129998
  111.91087637   74.36464156   72.75047076   44.57667384   45.89974862
  105.58906933   92.64191758   83.61270738  137.81082747    4.99106936
   81.84121809   87.76254279   30.08215468   88.45729513   49.26047244]","[  45.27423441   96.01776867   81.83455381   89.64243938   93.16568382
  119.69787578  109.73637114   99.97720665   91.56229659   55.37810596
  114.39980775  126.07980795  115.11903256   74.66914874   95.32635775
   83.05851094  136.96263178   33.03214106   53.01383552   93.16568382]","[ 102.45831324  117.85952039   59.58521141   79.14991861   62.38441313
   46.02053606   71.12934615   86.62789757  103.51573023  103.80438199
  101.66290142  105.30561434   50.92305507   87.92497349  119.85274003
   32.71962023  123.77532466  112.53639309   78.17063324  101.81780105]","[ 108.24194454   96.77794469   91.40323248  141.70297569   85.30895715
   65.11533489   22.63168549  105.14792908   88.60656754   92.96412519
   75.23469483   87.91746989  127.22158641   79.30205517  105.55330466
  109.67524151   80.4317927    77.57592451   65.23284552   87.3680873 ]","[ 74.24445699  95.12158458  27.74278462  87.90705933  79.58500215
  93.93177351  57.7400976   61.1034449   57.94130383  67.86235843
  79.2778584   82.35843178  71.49741998  99.51644004  70.04086559
  64.22005579  57.94130383  67.86235843  70.04086559  93.49088389]","[ 126.39922425   72.60101971  157.18830836  107.50110126   56.25907625
  128.67641204  166.4458865   163.84893475   62.82483787  123.78937919
   51.9748619   110.97611126  109.32920303   48.66530077   97.42396293
  109.32920303   48.66530077   97.42396293  110.97611126   71.26370624]"
"[ 108.13674121   44.20430909   55.42280996  108.13674121   44.20430909
   55.42280996   44.20430909   55.42280996   57.44242367   48.07145234
  108.13674121   44.20430909   55.42280996   40.38395517   48.07145234
   55.42280996   57.44242367   40.78689247   44.20430909   55.42280996]","[  39.44250704   63.22351952   94.27623168   45.44978433   82.28860221
   53.76099023   99.31765877   50.85435185   86.99629308   85.27464087
   84.26704198   82.56812705  125.52906464   39.71491046   74.77624269
   72.12312053   76.96803401   82.28860221   32.59305182   79.48635068]","[  96.69543088   90.67489009   74.59426294   96.69543088   79.47560669
   88.57111688  120.55203231   63.663197     97.87005498  114.63438007
  115.68838203  100.52781908   97.5911472   117.06310595  106.5266843
   74.59426294   96.69543088  118.14962401  101.35304421  136.17737939]","[  95.7445766    70.3801602   108.15768513   34.07318913  131.97681321
   78.61983032   50.26661758   67.14237517   42.39459339  125.23696715
  113.13359884   93.49905521   38.19834063   70.22875566   80.21951637
   70.73466345   72.78107734   34.07318913   61.78401086   96.60281828]","[ 131.20392758   85.94708725   60.64084828   55.70803266   51.19218515
   85.05921591  160.34951873   63.06791702   88.95060618   99.3926148
    6.93365227  110.89585477   97.40333668   73.76276807   60.64084828
  113.88230409  146.6653221    40.49711506  134.85696072   88.95060618]","[  40.4827213    53.05564833  108.41587345   85.18523097   69.40881722
   56.20256156  128.88274253  115.76554327  106.66964201  148.68042738
   83.39223465   83.39223465   51.17167181   78.62937469   88.43844228
   46.90197736   95.13855596   -4.51180862   65.11658316   91.67948878]","[  71.50232915  136.51381942  110.3694903    95.51141192   89.63451314
   58.11249284  110.47189558   62.81549612  118.55032822  103.7164648
  109.04757566   75.48723442  112.74801711  126.10964413  166.70001261
  110.3694903   117.06979354  151.46654449   90.9725221    98.22697868]","[  80.33967701   54.87861952  110.2942358    75.53635838   70.67798746
   68.75006796   52.47633514   52.05104714   35.13773194  105.25404745
   56.32038755   43.06060426   73.68029874  111.63717738  133.46097144
   99.9418538    92.22237953   41.47617391   75.63959128   86.21761536]","[  49.35125189   59.13338243  106.87062727   74.20696678   67.54073207
   44.25572312   70.88662693   83.26513491   28.94199106   55.15114423
   71.01682923   34.01464664   97.26859723  138.19875697  106.56973859
  101.87498474   63.84129941   84.08899981   59.38072004   49.35125189]","[ 147.68968599  138.76241855  184.51384707  106.66674265  161.17092396
  109.08426472  146.78643313  123.89291866  107.40809271   55.15519148
  143.32124126  108.3283806   161.17092396  109.08426472  181.76486753
  109.57893197  153.24692116  158.70525104  113.91229823   31.42043712]"
"[ 49.1276626   51.4407038   40.59759882  59.64392757  20.53290067
  59.64392757  20.53290067  28.19359544  51.4407038   40.59759882
  51.4407038   40.59759882  20.53290067  28.19359544  86.52644622
  59.64392757  20.53290067  59.64392757  20.53290067  59.64392757]","[  74.62639686   79.63384298  108.14239082   49.35028577  110.03078091
   59.73813346   51.85829325   77.90217492   72.61088238   91.98423161
   92.38258717  106.46963207   50.68143604   71.66699978  117.65521629
   66.47193271   97.4420086    72.98195216   65.0940529   108.14239082]","[  98.01979582   83.76923873  108.08371356  140.6995581   134.33988604
   82.56178264   91.87376115   88.34457511  106.09577385   83.76923873
  119.31042226  123.45879106  106.09577385  125.4151986    58.88089592
   98.01979582   83.76923873   77.80772174  108.08371356  121.7274048 ]","[  72.30453712   93.11248007   77.27081633  103.84938048   78.76163129
   63.70448012   91.9530882    46.65607747  101.63434138   68.97154878
   84.94971076   83.67051947   87.55956763   64.73040238   84.94971076
   83.67051947   87.55956763  124.68262908   54.87852409   72.30453712]","[  61.48616841  112.65675453   94.74653763   84.23342867   99.57470304
   76.85143987   79.43639618  141.63360853  112.65675453   94.74653763
  102.19454142   51.72677395  141.63360853  102.19454142   99.44495091
   87.51213722   60.89289539   74.33007356   41.91306268   63.05146392]","[  61.01361979   32.02647319  105.42625064   76.89706129  156.68328109
   18.74218027  100.53178982   76.76217239  149.35311331  150.50878881
  105.46670431  215.71151977   17.13079909   22.55710068   99.03950516
   99.03950516   60.13026707  133.41215792  188.61597761   95.21230507]","[  36.4873424   112.63013893  141.32299192  117.62919575  183.10334336
   34.46656525  126.41268058   94.89448169   75.99678559   78.72920396
  113.18522243  127.73858588   71.67929243  120.60274045  120.37881645
  139.30681902  130.69536142  127.73858588  120.82208587   36.97240978]","[  84.73053069   64.33096188  129.58047653  103.47223294   66.37548906
   80.93686497   81.41199008   62.95136836  112.22151438   88.50534461
   99.19899776   98.08762863   97.33686394   71.6618252    83.47331298
   54.72350529   77.41509356   85.06083363   37.94223611  103.38562793]","[  82.12961239   40.54084857  108.93428385   92.36590815  103.31130696
   92.16754968   95.10660011   92.46298409   73.81941341   85.90160449
   71.28490283   43.75457521  111.5268248    48.82977626   74.74551177
   92.46298409   52.75154659   43.21368522   78.33150708  128.32263017]","[ 143.55381481   64.52933249   96.21906097   71.18437261   80.48212274
   87.05431712  130.96752056  132.27989629  169.44638653   10.45353246
  115.03042745  121.18821613  129.10796866  158.37208158   87.05431712
  130.96752056  132.27989629   89.04795896   75.51214995  122.91558383]"
"[ 44.3708052   22.04993664  56.19234779  44.3708052   22.04993664
  56.19234779  56.19234779  88.28738082  56.19234779  88.28738082
  56.19234779  88.28738082  56.19234779  88.28738082  37.53820287
  83.91698354  56.19234779  88.28738082  37.53820287  88.28738082]","[  55.01941164   89.18866033   58.70384281   42.84450974   77.84987882
  112.29236787   46.73364481   57.35925611  113.59552855   80.5014037
   74.91722391  104.8362776    42.84450974   99.55005596   93.00619343
   91.1913481   122.55702204  116.84885686   77.73876668   93.00619343]","[  99.97079185  132.07666947   84.06462283  114.02425428   90.94381607
  128.85502714   57.26968349  112.39477493   99.78730335  101.13593103
   73.07555842  126.88584568  112.39477493   99.78730335  136.36145396
   87.2357409    95.26833913   89.87428717  138.49652273  114.02425428]","[ 105.17559138  102.68449396   82.15859794   49.04115779  100.25076633
  119.15039976   35.91435265  117.20459248  100.25076633   94.71933335
   98.91908231   79.58683906   78.27078827   93.35303649   69.02042689
   69.02042689  151.97201939   68.22824117   65.69471166   73.18152621]","[  77.87283342  112.41718886   73.56361755   49.56539418  108.59048256
  134.85483444   69.13095626   70.21062735  116.64677607   70.43694378
   70.09243355   53.99208547   53.87534097   86.72300026   91.22138926
  112.32225669   69.77283102  100.62391189   80.56086146   69.15770499]","[  38.74753286   73.8280751    87.38166359  168.83182933  154.99263032
  151.48946992  134.7696719   183.06477838   33.43603415  102.62187663
   35.82308269   68.34066611  126.89121333   78.48097027   62.31309729
  149.64588591  131.42706726   55.72136714   74.61272351   78.24737648]","[ 103.05071599   96.25890481   68.84835641  103.05071599   96.25890481
   89.85239934   73.17640285   85.56604522  152.98997276  118.8952785
   85.31637329   96.19064196   96.25890481  107.33913327  135.54553136
   87.32692347  141.49090401   74.5896755   105.66249311  136.86229539]","[  42.90433773   67.16899542   98.58085738   48.78433988   74.79206258
   93.37882883   80.02606194   75.91151369  104.57391165   23.39363562
  109.89003088   94.58746175   72.06030877   43.82629255   79.54581838
   23.39363562  109.89003088   24.04277541  111.11787795   98.57706588]","[  73.13479301   70.05721774   73.36070237   49.10816211   64.37586615
   41.03944493   33.97373258   73.00053951   70.10549635   64.20328081
   84.88333037   59.28199542   67.40643519  112.71728373   65.95923548
   92.82620928   68.25907136   29.93647281   20.31374436   84.88333037]","[ 151.02530448  145.24875339  137.64045128   95.80837915   56.97737616
  192.26560243  105.24543611  139.5693072   162.3487375   138.36330802
  111.01739115  147.4289937   105.6231731   175.41245606   61.27437014
  115.05892454  105.78778538   79.65830025  150.71733575  150.64546124]"
